student_id,total_spending,rent,utilities,entertainment,groceries,transportation,savings,healthcare,other
1,901.12,538.43,94.26,46.23,120.0,42.53,0.0,37.3,22.36
2,1160.75,490.74,77.58,80.91,184.27,45.31,133.09,35.65,113.2
3,1080.96,377.25,66.19,92.74,279.25,27.65,133.79,48.24,55.85
4,997.67,373.18,98.94,143.72,169.65,54.27,79.07,48.27,30.57
5,1243.42,421.62,69.43,47.0,226.93,49.63,251.3,22.3,155.21
6,950.96,392.51,85.2,10.0,166.3,101.45,142.18,17.26,36.04
7,1368.9,612.0,110.11,197.52,292.22,72.18,0.0,30.16,54.71
8,1040.03,509.35,86.82,83.96,137.0,44.71,0.0,59.06,119.14
9,1269.77,665.03,58.5,92.08,302.52,21.68,28.0,9.64,92.31
10,950.59,551.93,50.76,95.96,203.86,10.0,0.0,18.64,19.46
11,1081.57,476.53,65.44,44.81,279.21,34.47,0.0,12.99,168.12
12,987.09,242.1,76.53,273.67,183.77,38.38,113.59,7.73,51.32
13,1084.54,328.78,74.37,164.76,300.86,61.97,83.04,14.26,56.5
14,1123.19,359.45,107.01,151.95,177.33,52.1,151.6,4.72,119.03
15,943.03,400.17,76.34,79.48,120.0,55.35,18.88,3.89,188.93
16,1446.33,667.72,70.64,177.73,232.37,36.02,109.9,79.49,72.46
17,1192.51,606.47,54.29,124.62,297.87,58.04,0.0,6.78,44.43
18,1536.08,815.43,102.21,158.95,273.49,26.59,0.0,37.03,122.37
19,1215.23,348.35,66.84,143.49,293.96,53.23,0.0,99.49,209.85
20,1359.72,631.69,48.34,117.7,274.58,71.6,58.08,55.25,102.48
21,1332.11,670.95,77.03,221.42,199.89,47.69,0.0,35.83,79.3
22,1224.9,522.13,54.24,139.79,287.15,63.87,0.0,41.19,116.52
23,1153.98,496.83,63.74,168.51,250.11,25.46,121.11,13.23,15.0
24,1046.68,588.89,74.28,51.23,190.96,23.86,0.0,56.29,61.17
25,987.01,472.93,54.39,58.16,239.86,61.55,0.0,85.12,15.0
26,1001.33,533.63,63.73,10.0,226.9,75.94,0.0,15.92,75.2
27,1077.83,414.72,55.55,137.39,307.88,50.24,41.61,3.66,66.79
28,1113.29,266.8,51.59,153.89,201.68,97.9,279.71,46.72,15.0
29,1240.2,558.46,55.11,175.13,199.11,26.13,0.0,121.41,104.86
30,1129.03,354.82,58.45,10.0,156.57,41.4,396.13,7.66,104.0
31,928.66,350.96,50.92,91.39,299.33,57.8,0.0,18.89,59.36
32,1102.71,490.66,81.78,164.96,209.65,74.29,54.13,12.25,15.0
33,1032.44,375.84,71.39,109.25,266.33,43.32,0.0,26.72,139.59
34,1257.84,646.73,97.41,70.91,173.27,33.81,26.07,10.29,199.34
35,1205.29,548.03,106.9,89.82,257.86,67.41,0.0,18.26,117.01
36,1118.5,501.98,83.75,10.0,209.44,57.66,198.13,7.02,50.52
37,1183.85,542.4,80.86,121.98,312.84,48.11,0.0,1.42,76.24
38,977.45,347.17,80.24,65.19,254.86,64.98,50.92,20.26,93.83
39,1340.59,640.04,84.1,175.45,249.5,52.27,0.0,39.27,99.95
40,1087.54,462.48,71.28,63.85,215.46,52.21,98.33,4.98,118.95
41,1165.22,521.42,71.61,34.31,284.37,51.47,0.0,107.28,94.75
42,978.79,500.23,53.12,74.62,159.97,38.58,89.13,33.75,29.4
43,859.42,362.91,82.49,194.48,120.0,36.55,0.0,13.25,49.74
44,809.28,367.71,66.97,59.3,127.78,44.49,0.0,63.45,79.58
45,1163.34,554.88,99.24,94.4,120.0,55.64,95.23,48.23,95.71
46,1280.3,562.65,89.85,166.31,297.76,37.57,34.2,37.72,54.23
47,1127.37,485.76,59.81,38.25,316.8,73.89,69.69,25.76,57.42
48,1179.46,599.09,96.91,112.35,132.8,55.37,76.28,13.64,93.02
49,1039.18,590.96,28.14,10.0,151.96,33.7,150.24,30.96,43.23
50,1590.05,686.64,111.84,171.51,269.9,107.33,0.0,25.67,217.15
51,1191.47,482.25,46.88,127.88,280.0,55.84,0.0,60.86,137.76
52,917.13,371.35,76.55,64.7,186.66,28.3,36.35,35.36,117.86
